Table S1: Results of U-Th-Pb analyses for igneous and detrital zircon samples,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,Concordance,
,,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,error,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,Best age,±2s,68 vs. 67,68 vs. 75
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%),(%)
,,,,,,,,,,,,,,,,,,,,
MR24-006 108,163,693409,7.47,4.8223,1.9,15.38165,4.3,0.538214,3.8,0.891,2776.0,85.8,2839.2,40.7,2884.3,31.5,2884.3,31.5,96.2,97.8
MR24-006 110,111,133787,3.83,16.3595,3.3,0.90107,6.2,0.10696,5.2,0.847,655.1,32.6,652.3,29.7,642.7,70.5,655.1,32.6,101.9,100.4
MR24-006 111,99,265704,1.18,7.9176,1.6,6.24924,3.6,0.359014,3.2,0.892,1977.5,55.2,2011.4,31.8,2046.3,29.0,2046.3,29.0,96.6,98.3
MR24-006 112,338,133351,7.38,16.6874,1.8,0.81893,3.8,0.099158,3.4,0.888,609.5,19.9,607.5,17.6,599.9,38.2,609.5,19.9,101.6,100.3
MR24-006 113,169,68015,2.82,16.9654,2.6,0.77252,4.7,0.095098,3.8,0.824,585.6,21.5,581.2,20.7,564.0,57.6,585.6,21.5,103.8,100.8
MR24-006 114,92,143040,2.51,12.3187,2.8,2.36645,4.8,0.211522,3.9,0.816,1236.9,43.9,1232.5,34.1,1224.8,54.1,1224.8,54.1,101.0,100.4
MR24-006 115,146,1325217,1.3,5.6748,1.4,12.30745,3.2,0.50677,2.8,0.896,2642.8,61.4,2628.1,29.7,2616.8,23.4,2616.8,23.4,101.0,100.6
MR24-006 116,72,158713,0.85,8.6877,2.3,5.2525,5.4,0.331104,4.9,0.902,1843.7,78.6,1861.2,46.4,1880.7,42.3,1880.7,42.3,98.0,99.1
MR24-006 117,161,362768,1.59,16.5622,2.2,0.80485,5.3,0.096723,4.8,0.911,595.2,27.5,599.6,24.0,616.2,47.4,595.2,27.5,96.6,99.3
MR24-006 118,346,338810,3.21,7.4353,1.4,6.92036,3.4,0.373353,3.1,0.915,2045.2,54.7,2101.3,30.3,2156.7,24.0,2156.7,24.0,94.8,97.3
