Table S1: Results of U-Th-Pb analyses for igneous and detrital zircon samples,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Isotope ratios,,,,,Apparent ages (Ma),,,,,,,,Concordance,
,,,,,,,,,,,,,,,,,,,,
Analysis,U,206Pb,U/Th,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,error,206Pb*,±2s,207Pb*,±2s,206Pb*,±2s,Best age,±2s,68 vs. 67,68 vs. 75
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),207Pb*,(Ma),(Ma),(Ma),(%),(%)
,,,,,,,,,,,,,,,,,,,,
MR24-020 114,100,151892,2.6,16.2965,4.2,0.94495,6.5,0.111737,5.0,0.765,682.8,32.1,675.5,32.0,651.0,89.6,682.8,32.1,104.9,101.1
MR24-020 116,16,2500,3.91,18.2083,12.0,0.7318,14.5,0.096684,8.1,0.56,594.9,46.2,557.6,62.3,407.9,269.4,594.9,46.2,145.8,106.7
MR24-020 117,396,165025,5.26,12.908,1.9,2.05467,3.6,0.19244,3.1,0.855,1134.6,31.8,1133.8,24.4,1132.4,36.9,1132.4,36.9,100.2,100.1
MR24-020 118,150,509027,1.12,7.4127,1.6,7.55094,4.7,0.406135,4.4,0.937,2197.2,82.4,2179.1,42.3,2162.0,28.7,2162.0,28.7,101.6,100.8
MR24-020 119,180,161884,8.65,12.778,2.2,1.9671,5.2,0.182382,4.8,0.909,1080.0,47.3,1104.3,35.2,1152.6,43.2,1152.6,43.2,93.7,97.8
MR24-020 120,372,249766,2.13,16.3001,2.1,0.84096,3.6,0.099462,2.9,0.811,611.3,16.9,619.7,16.5,650.5,44.8,611.3,16.9,94.0,98.6
MR24-020 121,63,54987,3.14,18.0625,4.9,0.45822,6.8,0.060054,4.6,0.683,376.0,16.9,383.0,21.6,425.9,110.4,376.0,16.9,88.3,98.2
MR24-020 122,84,104313,2.6,16.9572,3.2,0.77238,5.3,0.095034,4.2,0.798,585.2,23.8,581.1,23.5,565.1,69.7,585.2,23.8,103.6,100.7
MR24-020 123,36,18970,1.56,16.0568,5.8,0.76883,9.4,0.089574,7.4,0.79,553.0,39.4,579.1,41.5,682.8,123.2,553.0,39.4,81.0,95.5
MR24-020 124,81,83266,4.15,15.7954,3.7,0.89777,5.5,0.102894,4.0,0.731,631.3,24.0,650.5,26.3,717.7,79.3,631.3,24.0,88.0,97.0
MR24-020 125,209,164371,1.74,16.8349,2.3,0.81019,3.5,0.098967,2.7,0.762,608.4,15.6,602.6,16.1,580.8,49.7,608.4,15.6,104.8,101.0
MR24-020 126,106,67346,1.38,15.3946,2.0,1.11047,4.9,0.124042,4.4,0.914,753.8,31.6,758.4,25.9,772.0,41.5,753.8,31.6,97.6,99.4
MR24-020 127,335,264433,3.91,16.8037,2.3,0.75223,3.5,0.091717,2.7,0.76,565.7,14.5,569.5,15.4,584.9,49.7,565.7,14.5,96.7,99.3
MR24-020 128,40,22726,1.68,16.4435,6.1,0.80184,9.2,0.095671,6.8,0.743,589.0,38.4,597.9,41.5,631.7,132.3,589.0,38.4,93.2,98.5
MR24-020 129,103,163014,2.3,5.071,1.4,15.12419,5.0,0.55649,4.8,0.96,2852.1,110.5,2823.1,47.6,2802.4,22.8,2802.4,22.8,101.8,101.0
MR24-020 130,143,103589,21.62,16.4184,3.0,0.84213,5.0,0.100324,4.0,0.803,616.3,23.6,620.3,23.2,635.0,64.1,616.3,23.6,97.1,99.4
MR24-020 131,171,171344,3.75,16.071,3.1,0.89926,4.9,0.104864,3.8,0.773,642.8,23.1,651.3,23.5,680.8,66.1,642.8,23.1,94.4,98.7
MR24-020 132,71,28846,3.21,18.0944,3.4,0.45177,7.9,0.059314,7.2,0.903,371.5,25.8,378.5,25.0,422.0,76.0,371.5,25.8,88.0,98.2
MR24-020 133,633,583047,9.33,8.3598,1.3,5.72961,3.1,0.347549,2.8,0.901,1922.9,46.6,1935.8,26.9,1949.7,24.1,1949.7,24.1,98.6,99.3
MR24-020 134,43,183506,4.66,7.4184,1.9,7.41564,5.5,0.399163,5.1,0.94,2165.2,94.4,2162.9,48.9,2160.6,32.6,2160.6,32.6,100.2,100.1
MR24-020 135,192,61109,1.46,16.0943,2.5,0.88032,3.9,0.102803,3.0,0.769,630.8,18.1,641.2,18.6,677.7,53.6,630.8,18.1,93.1,98.4
MR24-020 136,101,98551,2.66,15.0164,2.4,1.19728,5.0,0.130454,4.4,0.876,790.5,32.5,799.3,27.6,824.1,50.4,790.5,32.5,95.9,98.9
MR24-020 137,110,86519,6.51,7.8542,1.8,5.28618,5.0,0.301257,4.7,0.934,1697.5,70.0,1866.6,42.9,2060.5,31.6,2060.5,31.6,82.4,90.9
MR24-020 138,148,1181741,5.84,12.072,2.2,2.36066,4.6,0.20678,4.1,0.88,1211.6,45.2,1230.8,33.2,1264.5,43.1,1264.5,43.1,95.8,98.4
MR24-020 139,280,292778,1.15,16.5189,2.1,0.79638,3.8,0.095454,3.2,0.837,587.7,17.8,594.8,17.0,621.8,44.6,587.7,17.8,94.5,98.8
MR24-020 140,91,30966,2.68,16.0649,3.3,0.91235,5.0,0.106349,3.8,0.753,651.5,23.2,658.3,24.1,681.6,70.0,651.5,23.2,95.6,99.0
MR24-020 141,46,139494,1.57,8.0986,2.0,6.32686,6.0,0.371783,5.7,0.945,2037.8,99.8,2022.2,53.0,2006.3,35.2,2006.3,35.2,101.6,100.8
MR24-020 142,39,76326,0.67,8.1642,1.9,5.91616,5.5,0.350465,5.2,0.941,1936.8,86.5,1963.6,47.7,1991.9,32.9,1991.9,32.9,97.2,98.6
MR24-020 143,100,882589,1.97,8.4047,1.9,5.32075,4.6,0.324482,4.2,0.905,1811.6,65.6,1872.2,39.2,1940.2,34.8,1940.2,34.8,93.4,96.8
MR24-020 144,161,167907,3.44,8.5971,2.0,5.24252,5.2,0.32703,4.8,0.923,1824.0,75.6,1859.6,44.0,1899.6,35.7,1899.6,35.7,96.0,98.1
MR24-020 145,220,65066,15.65,8.0921,1.9,5.46756,3.5,0.321032,3.0,0.835,1794.8,46.3,1895.5,30.4,2007.7,34.5,2007.7,34.5,89.4,94.7
MR24-020 146,231,1009365,2.31,16.4448,2.3,0.86613,3.7,0.103349,2.8,0.773,634.0,17.2,633.5,17.4,631.5,50.3,634.0,17.2,100.4,100.1
MR24-020 147,85,122663,4.68,13.3572,2.5,1.72344,4.9,0.167034,4.2,0.856,995.7,38.5,1017.3,31.3,1064.0,50.6,1064.0,50.6,93.6,97.9
MR24-020 149,179,86434,4.5,18.6749,3.5,0.27581,5.6,0.037373,4.4,0.779,236.5,10.2,247.3,12.4,351.0,79.8,236.5,10.2,67.4,95.6
MR24-020 152,365,245532,3.68,17.7119,2.4,0.57373,4.0,0.073734,3.2,0.803,458.6,14.3,460.4,14.8,469.5,53.0,458.6,14.3,97.7,99.6
MR24-020 153,65,374149,2.56,8.8119,1.8,4.95547,4.6,0.316847,4.3,0.924,1774.3,66.1,1811.8,39.0,1855.1,32.0,1855.1,32.0,95.6,97.9
MR24-020 154,92,327920,2.7,8.3032,1.4,5.82804,4.4,0.351125,4.1,0.944,1940.0,68.9,1950.6,37.8,1961.9,25.7,1961.9,25.7,98.9,99.5
MR24-020 155,43,34972,2.33,16.9563,4.6,0.79172,7.0,0.097409,5.2,0.748,599.2,29.9,592.1,31.4,565.2,101.0,599.2,29.9,106.0,101.2
MR24-020 156,71,25826,1.84,16.535,4.0,0.8365,6.5,0.100362,5.1,0.787,616.5,29.9,617.2,29.9,619.7,86.1,616.5,29.9,99.5,99.9
MR24-020 157,269,147204,1.52,16.1578,2.8,0.9433,4.2,0.110593,3.0,0.732,676.2,19.5,674.6,20.5,669.3,60.6,676.2,19.5,101.0,100.2
MR24-020 158,79,232171,1.75,6.0912,1.6,9.38717,5.1,0.41489,4.9,0.952,2237.2,92.7,2376.6,47.2,2498.3,26.4,2498.3,26.4,89.5,94.1
MR24-020 159,107,88357,2.97,16.6865,3.1,0.74897,5.6,0.090682,4.6,0.832,559.6,24.9,567.6,24.3,600.0,67.1,559.6,24.9,93.3,98.6
MR24-020 160,88,58898,2.9,16.3467,4.9,0.78838,6.0,0.09351,3.4,0.575,576.3,19.0,590.3,26.8,644.4,105.4,576.3,19.0,89.4,97.6
MR24-020 161,92,578527,2.42,8.6942,1.8,5.162,6.9,0.325644,6.7,0.967,1817.2,105.6,1846.4,58.7,1879.4,31.8,1879.4,31.8,96.7,98.4
MR24-020 162,86,178217,1.65,8.7065,1.8,5.23191,4.1,0.330519,3.6,0.894,1840.9,58.2,1857.8,34.6,1876.8,32.8,1876.8,32.8,98.1,99.1
MR24-020 163,159,1425333,2.09,8.6684,1.5,5.34125,3.4,0.335951,3.0,0.891,1867.2,48.6,1875.5,28.8,1884.7,27.5,1884.7,27.5,99.1,99.6
MR24-020 164,304,178865,2.29,7.7593,1.6,5.37921,3.6,0.302856,3.2,0.898,1705.5,48.5,1881.5,30.8,2081.9,27.9,2081.9,27.9,81.9,90.6
MR24-020 167,50,50279,2.49,16.6849,4.4,0.82794,6.1,0.100235,4.3,0.703,615.8,25.4,612.5,28.3,600.2,94.6,615.8,25.4,102.6,100.5
MR24-020 168,72,69436,1.84,16.3755,3.3,0.82155,5.5,0.097616,4.4,0.804,600.4,25.2,608.9,25.1,640.6,70.1,600.4,25.2,93.7,98.6
MR24-020 169,165,40273,2.48,16.7085,2.3,0.78242,3.9,0.094858,3.2,0.811,584.2,17.8,586.9,17.5,597.2,49.7,584.2,17.8,97.8,99.5
MR24-020 170,293,977717,13.59,16.2137,2.7,0.89893,4.8,0.105755,4.0,0.828,648.0,24.4,651.2,23.0,661.9,57.5,648.0,24.4,97.9,99.5
MR24-020 171,164,482946,6.18,16.5649,2.2,0.7631,4.1,0.09172,3.4,0.841,565.7,18.6,575.8,17.9,615.8,47.6,565.7,18.6,91.9,98.2
MR24-020 172,115,394619,2.81,15.7884,3.0,1.02376,5.7,0.117281,4.8,0.845,714.9,32.4,715.8,29.1,718.6,64.3,714.9,32.4,99.5,99.9
MR24-020 173,189,109116,1.48,15.3553,5.0,0.96814,6.8,0.107867,4.6,0.677,660.3,29.0,687.5,34.1,777.4,105.8,660.3,29.0,84.9,96.0
MR24-020 174,271,1197195,4.01,8.2846,1.4,5.85375,3.4,0.351883,3.2,0.918,1943.6,52.9,1954.4,29.8,1965.9,24.2,1965.9,24.2,98.9,99.4
MR24-020 175,44,124472,1.27,7.0334,1.6,7.62958,7.0,0.38937,6.9,0.975,2119.9,124.0,2188.3,63.2,2253.1,27.1,2253.1,27.1,94.1,96.9
MR24-020 177,119,203028,3.82,16.1363,2.3,0.92467,4.6,0.108265,4.0,0.867,662.7,25.1,664.8,22.4,672.2,48.9,662.7,25.1,98.6,99.7
MR24-020 178,83,879567,1.75,8.105,1.7,6.10569,5.8,0.359073,5.6,0.957,1977.8,95.0,1991.1,50.9,2004.9,30.1,2004.9,30.1,98.6,99.3
MR24-020 179,329,493173,3.24,7.5144,1.5,5.99937,3.9,0.32711,3.6,0.919,1824.4,57.0,1975.8,34.0,2138.2,26.9,2138.2,26.9,85.3,92.3
MR24-020 181,40,52646,4.57,15.3302,4.6,1.12547,6.5,0.125192,4.6,0.711,760.4,33.3,765.6,35.2,780.8,96.6,760.4,33.3,97.4,99.3
MR24-020 182,51,58745,2.76,15.5755,4.1,0.94488,8.0,0.106785,6.9,0.861,654.1,42.8,675.4,39.4,747.4,86.0,654.1,42.8,87.5,96.8
MR24-020 183,430,484207,11.72,16.7002,1.5,0.81831,3.1,0.09916,2.8,0.881,609.5,16.1,607.1,14.4,598.2,32.2,609.5,16.1,101.9,100.4
MR24-020 184,99,26318,4.55,16.4665,2.2,0.83097,4.4,0.099284,3.8,0.87,610.2,22.3,614.1,20.3,628.7,46.9,610.2,22.3,97.1,99.4
MR24-020 185,83,165209,1.31,8.1548,2.1,5.98257,4.8,0.353993,4.2,0.892,1953.6,71.4,1973.3,41.3,1994.0,38.2,1994.0,38.2,98.0,99.0
MR24-020 186,235,54761,6.19,16.333,2.1,0.82793,3.9,0.098119,3.3,0.841,603.4,18.8,612.5,17.8,646.2,45.0,603.4,18.8,93.4,98.5
MR24-020 187,128,1536089,5.68,7.9712,1.6,6.19538,3.7,0.358333,3.3,0.897,1974.3,56.9,2003.8,32.6,2034.4,29.2,2034.4,29.2,97.0,98.5
MR24-020 188,197,296629,1.75,16.9319,3.0,0.78386,4.6,0.096303,3.5,0.758,592.7,19.8,587.7,20.6,568.4,65.4,592.7,19.8,104.3,100.9
MR24-020 190,107,73734,2.44,16.6963,2.7,0.76228,4.8,0.092349,4.0,0.83,569.4,21.7,575.3,21.0,598.8,57.9,569.4,21.7,95.1,99.0
MR24-020 191,211,190355,2.13,6.5918,1.8,8.78121,3.9,0.420002,3.5,0.884,2260.5,66.5,2315.5,36.0,2364.4,31.4,2364.4,31.4,95.6,97.6
MR24-020 192,112,130605,9.1,12.1887,2.3,2.29946,4.0,0.203366,3.3,0.822,1193.4,35.9,1212.1,28.4,1245.7,44.8,1245.7,44.8,95.8,98.5
MR24-020 193,192,364241,1.06,9.1532,1.9,4.84882,3.8,0.322035,3.3,0.867,1799.7,51.5,1793.4,31.9,1786.1,34.4,1786.1,34.4,100.8,100.4
MR24-020 194,175,239043,4.49,8.0857,1.9,6.42893,3.8,0.377181,3.3,0.868,2063.1,57.8,2036.2,33.1,2009.1,33.2,2009.1,33.2,102.7,101.3
MR24-020 195,262,174066,4.44,14.9499,2.1,1.16125,4.7,0.125968,4.2,0.888,764.8,29.9,782.5,25.5,833.4,44.7,764.8,29.9,91.8,97.7
MR24-020 197,270,195370,2.87,13.0086,1.7,1.90815,3.2,0.18011,2.7,0.845,1067.6,26.4,1083.9,21.2,1117.0,33.9,1117.0,33.9,95.6,98.5
MR24-020 198,123,24244,7.45,16.1736,3.0,0.91517,5.1,0.107399,4.2,0.81,657.6,26.1,659.8,25.0,667.2,64.6,657.6,26.1,98.6,99.7
MR24-020 199,44,96671,2.07,4.6386,1.7,15.40642,5.5,0.518539,5.2,0.953,2693.0,115.4,2840.7,52.5,2947.3,27.1,2947.3,27.1,91.4,94.8
MR24-020 200,113,107615,2.39,13.713,3.1,1.66552,5.2,0.165721,4.1,0.795,988.5,37.7,995.5,32.8,1010.9,63.6,1010.9,63.6,97.8,99.3
MR24-020 201,140,268965,5.21,7.5739,1.7,7.07028,3.9,0.388552,3.5,0.897,2116.1,63.9,2120.3,35.1,2124.4,30.5,2124.4,30.5,99.6,99.8
MR24-020 202,104,45860,36.84,17.1383,3.4,0.71359,5.7,0.088739,4.5,0.794,548.1,23.7,546.9,24.0,541.9,75.4,548.1,23.7,101.1,100.2
MR24-020 203,545,526687,6.81,16.2174,1.8,0.90207,2.9,0.106149,2.3,0.793,650.3,14.3,652.8,14.1,661.4,38.2,650.3,14.3,98.3,99.6
MR24-020 204,129,64007,3.08,16.2051,2.9,0.83651,5.0,0.09836,4.1,0.815,604.8,23.5,617.2,23.1,663.1,62.0,604.8,23.5,91.2,98.0
MR24-020 205,93,179322,2.4,8.4493,4.5,5.87639,8.0,0.360269,6.6,0.826,1983.4,113.4,1957.8,69.8,1930.7,81.3,1930.7,81.3,102.7,101.3
MR24-020 206,413,581239,115.96,13.3584,3.2,1.69362,4.0,0.164159,2.5,0.622,979.8,22.8,1006.1,25.7,1063.8,63.5,1063.8,63.5,92.1,97.4
MR24-020 207,106,2185565,2.67,4.5619,1.6,17.07641,9.0,0.565241,8.8,0.984,2888.3,205.7,2939.1,86.2,2974.2,26.0,2974.2,26.0,97.1,98.3
MR24-020 209,120,52085,3.15,16.4593,3.0,0.79978,5.4,0.095516,4.6,0.839,588.1,25.6,596.7,24.5,629.7,63.6,588.1,25.6,93.4,98.6
MR24-020 211,85,44395,72.47,16.6795,4.1,0.73275,5.3,0.088682,3.3,0.629,547.7,17.4,558.2,22.6,600.9,88.5,547.7,17.4,91.1,98.1
MR24-020 212,137,122477,3.5,16.4382,3.7,0.78347,4.8,0.093448,3.0,0.625,575.9,16.5,587.5,21.4,632.4,80.5,575.9,16.5,91.1,98.0
MR24-020 213,93,151089,3.63,16.3352,3.9,0.84058,5.8,0.099631,4.3,0.741,612.2,25.2,619.5,26.9,645.9,83.9,612.2,25.2,94.8,98.8
MR24-020 214,127,32184,0.91,16.826,2.8,0.75094,4.5,0.091681,3.5,0.784,565.5,19.2,568.8,19.7,582.0,61.0,565.5,19.2,97.2,99.4
MR24-020 215,33,26389,4.69,13.9562,3.8,1.52622,7.4,0.154554,6.3,0.858,926.4,54.8,941.0,45.4,975.2,77.4,975.2,77.4,95.0,98.4
MR24-020 216,146,171841,4.66,9.1554,1.8,4.20447,4.0,0.279307,3.6,0.889,1587.9,50.6,1674.9,33.1,1785.7,33.6,1785.7,33.6,88.9,94.8
MR24-020 217,108,26448,3.01,16.4755,3.2,0.83065,4.7,0.099301,3.5,0.739,610.3,20.4,614.0,21.9,627.5,68.9,610.3,20.4,97.3,99.4
MR24-020 218,255,328635,4.66,9.9233,2.1,3.61983,3.7,0.260639,3.1,0.828,1493.1,41.2,1553.9,29.7,1637.5,38.9,1637.5,38.9,91.2,96.1
MR24-020 220,103,366571,2.81,5.5561,1.3,12.21008,3.7,0.492249,3.4,0.934,2580.4,72.7,2620.7,34.4,2651.9,21.7,2651.9,21.7,97.3,98.5
MR24-020 221,182,166432,3.17,17.1146,2.6,0.69516,5.2,0.086326,4.5,0.863,533.8,23.1,535.9,21.7,544.9,57.5,533.8,23.1,98.0,99.6
MR24-020 222,83,42096,2.21,16.1051,4.3,0.81902,5.9,0.095709,4.0,0.682,589.2,22.7,607.5,27.0,676.3,92.3,589.2,22.7,87.1,97.0
MR24-020 223,85,27327,1.88,16.3052,2.8,0.85518,4.8,0.101176,4.0,0.82,621.3,23.5,627.5,22.6,649.8,59.4,621.3,23.5,95.6,99.0
MR24-020 224,109,52272,4.67,16.1085,3.3,0.89826,5.8,0.104991,4.8,0.824,643.6,29.2,650.8,27.8,675.9,70.1,643.6,29.2,95.2,98.9
MR24-020 225,165,466031,3.89,8.7322,1.2,5.15111,2.9,0.326377,2.6,0.91,1820.8,41.5,1844.6,24.5,1871.5,21.5,1871.5,21.5,97.3,98.7
MR24-020 226,121,111846,1.6,15.6735,3.2,0.92285,5.2,0.104951,4.2,0.8,643.4,25.7,663.9,25.6,734.1,66.7,643.4,25.7,87.6,96.9
MR24-020 227,236,761486,3.64,16.5289,2.3,0.87425,4.2,0.104851,3.5,0.839,642.8,21.5,637.9,19.9,620.5,49.4,642.8,21.5,103.6,100.8
MR24-020 228,127,198224,3.06,11.8391,1.7,2.53228,4.1,0.217532,3.8,0.914,1268.8,43.7,1281.4,30.2,1302.4,32.7,1302.4,32.7,97.4,99.0
MR24-020 229,131,2754997,2.43,7.9014,1.9,6.45986,4.6,0.370356,4.2,0.916,2031.1,73.8,2040.4,40.7,2049.9,32.7,2049.9,32.7,99.1,99.5
MR24-020 230,175,184851,2.79,16.6268,2.3,0.77818,4.5,0.093882,3.9,0.865,578.5,21.5,584.4,20.0,607.8,48.8,578.5,21.5,95.2,99.0
MR24-020 231,71,81621,1.56,16.3755,3.4,0.84973,5.4,0.100964,4.2,0.78,620.1,25.0,624.5,25.2,640.6,72.8,620.1,25.0,96.8,99.3
MR24-020 232,131,390291,3.57,14.849,2.9,1.15253,4.4,0.124178,3.4,0.762,754.6,24.1,778.4,24.1,847.5,59.8,754.6,24.1,89.0,96.9
MR24-020 233,112,265067,1.83,6.3775,1.8,9.38565,4.7,0.434316,4.4,0.924,2325.1,85.5,2376.4,43.5,2420.7,30.7,2420.7,30.7,96.1,97.8
MR24-020 234,40,1161745,1.36,5.3001,2.0,13.07158,7.3,0.502698,7.0,0.961,2625.4,150.5,2684.8,68.6,2729.9,33.2,2729.9,33.2,96.2,97.8
MR24-020 235,184,160161,2.63,13.8822,2.3,1.63502,4.7,0.164692,4.0,0.867,982.8,36.8,983.8,29.3,986.0,47.1,986.0,47.1,99.7,99.9
MR24-020 236,242,350305,5.46,5.6556,1.3,11.34854,4.2,0.465706,4.0,0.952,2464.7,81.8,2552.2,39.2,2622.5,21.4,2622.5,21.4,94.0,96.6
MR24-020 237,28,18030,3.16,15.5164,5.1,0.99652,9.0,0.112194,7.4,0.825,685.5,48.4,702.0,45.7,755.4,107.7,685.5,48.4,90.7,97.6
MR24-020 238,83,187886,1.39,8.2395,1.5,5.63993,4.5,0.337185,4.2,0.94,1873.1,68.7,1922.2,38.8,1975.6,27.3,1975.6,27.3,94.8,97.4
MR24-020 240,95,63839,2.66,15.4138,3.9,1.02873,5.5,0.115055,3.9,0.715,702.0,26.2,718.3,28.3,769.4,81.1,702.0,26.2,91.2,97.7
MR24-020 241,333,187729,3.86,16.3067,1.4,0.82052,3.1,0.097084,2.8,0.892,597.3,15.9,608.3,14.3,649.7,30.3,597.3,15.9,91.9,98.2
MR24-020 242,146,328242,1.21,8.257,1.4,5.62778,3.7,0.337172,3.4,0.923,1873.0,55.6,1920.4,32.0,1971.8,25.4,1971.8,25.4,95.0,97.5
MR24-020 244,53,20535,1.76,17.1962,3.3,0.77623,6.1,0.096854,5.1,0.839,595.9,29.1,583.3,27.1,534.5,72.8,595.9,29.1,111.5,102.2
MR24-020 245,76,451505,2.55,11.5296,2.4,2.64358,5.3,0.221157,4.7,0.893,1288.0,55.2,1312.9,39.0,1353.7,45.9,1353.7,45.9,95.1,98.1
MR24-020 246,212,349058,2.45,5.6584,1.7,10.96593,3.5,0.450232,3.0,0.876,2396.3,60.6,2520.2,32.1,2621.6,27.7,2621.6,27.7,91.4,95.1
MR24-020 247,143,429935,2.44,5.6528,2.1,11.57086,4.1,0.474597,3.5,0.863,2503.7,72.9,2570.3,38.1,2623.3,34.2,2623.3,34.2,95.4,97.4
MR24-020 248,181,255297,2.63,15.9083,2.3,0.87068,4.2,0.100503,3.5,0.832,617.4,20.5,635.9,19.8,702.6,49.5,617.4,20.5,87.9,97.1
MR24-020 249,124,134851,1.48,16.3626,2.2,0.81731,4.8,0.097036,4.3,0.889,597.0,24.5,606.5,22.0,642.3,47.5,597.0,24.5,92.9,98.4
MR24-020 250,21,13843,0.9,8.05,3.0,5.91231,8.6,0.345338,8.1,0.939,1912.3,133.5,1963.0,74.6,2017.0,52.3,2017.0,52.3,94.8,97.4
MR24-020 251,137,34233,2.21,14.7397,3.9,0.85883,5.8,0.091852,4.3,0.742,566.5,23.4,629.5,27.3,862.9,80.9,566.5,23.4,65.7,90.0
MR24-020 252,56,173611,0.44,8.0656,1.8,6.11542,4.6,0.357895,4.2,0.916,1972.2,71.4,1992.5,40.0,2013.5,32.6,2013.5,32.6,97.9,99.0
MR24-020 253,119,662545,2.47,16.628,3.0,0.81388,5.5,0.098196,4.5,0.831,603.8,26.2,604.6,24.9,607.6,65.8,603.8,26.2,99.4,99.9
MR24-020 254,483,292003,3.19,14.1805,1.7,1.50525,4.3,0.15488,4.0,0.918,928.3,34.4,932.5,26.4,942.6,35.1,942.6,35.1,98.5,99.5
MR24-020 256,269,155882,2.31,8.9225,2.0,4.47253,5.5,0.289558,5.1,0.928,1639.3,73.8,1725.9,45.6,1832.5,37.0,1832.5,37.0,89.5,95.0
MR24-020 257,139,163776,3.11,5.3715,2.0,11.71431,4.9,0.456568,4.5,0.914,2424.4,90.1,2581.8,45.7,2707.8,32.7,2707.8,32.7,89.5,93.9
MR24-020 258,122,335797,4.31,6.7518,2.2,7.44719,6.2,0.364845,5.8,0.934,2005.1,100.4,2166.7,55.9,2323.4,38.3,2323.4,38.3,86.3,92.5
MR24-020 259,33,13939,5.99,16.1057,5.3,0.97433,6.6,0.113862,3.9,0.593,695.1,25.8,690.7,33.0,676.2,113.5,695.1,25.8,102.8,100.6
MR24-020 260,249,1150857,3.56,15.5592,2.3,0.82192,3.7,0.092793,2.9,0.782,572.0,15.7,609.1,16.8,749.6,48.3,572.0,15.7,76.3,93.9
MR24-020 261,199,145044,2.4,16.6138,2.8,0.78172,5.2,0.094235,4.4,0.84,580.5,24.4,586.5,23.3,609.5,61.5,580.5,24.4,95.2,99.0
MR24-020 262,166,98915,2.12,16.4742,3.1,0.81859,5.2,0.097851,4.2,0.803,601.8,24.0,607.3,23.8,627.7,67.0,601.8,24.0,95.9,99.1
MR24-020 264,62,93624,4.12,16.6188,3.4,0.76017,5.8,0.091665,4.7,0.809,565.4,25.6,574.1,25.7,608.8,74.3,565.4,25.6,92.9,98.5
MR24-020 265,169,187531,3.91,13.4999,1.8,1.7472,3.4,0.171146,2.9,0.854,1018.4,27.2,1026.1,21.8,1042.6,35.5,1042.6,35.5,97.7,99.2
MR24-020 266,62,148528,1.44,5.1514,1.8,13.64088,5.6,0.509872,5.3,0.945,2656.1,114.9,2725.1,52.8,2776.7,30.0,2776.7,30.0,95.7,97.5
MR24-020 267,270,356744,4.18,13.219,1.4,1.88599,3.1,0.180897,2.8,0.888,1071.9,27.2,1076.2,20.6,1084.9,28.6,1084.9,28.6,98.8,99.6
MR24-020 268,300,254384,1.45,16.9822,2.9,0.7233,4.8,0.089126,3.8,0.801,550.4,20.2,552.6,20.4,561.9,62.5,550.4,20.2,98.0,99.6
MR24-020 269,378,1081255,245.93,15.6657,4.7,0.98491,6.2,0.111955,4.0,0.655,684.1,26.3,696.1,31.2,735.2,98.9,684.1,26.3,93.0,98.3
MR24-020 270,86,178252,2.61,14.0524,3.0,1.46844,6.2,0.149728,5.4,0.877,899.4,45.5,917.5,37.3,961.2,60.7,961.2,60.7,93.6,98.0
MR24-020 271,148,90378,2.93,17.0362,3.4,0.76232,4.0,0.094233,2.1,0.53,580.5,11.9,575.3,17.8,555.0,74.9,580.5,11.9,104.6,100.9
MR24-020 272,190,892842,2.11,16.2969,2.9,0.87986,4.4,0.104043,3.4,0.765,638.1,20.6,640.9,21.1,651.0,61.4,638.1,20.6,98.0,99.6
MR24-020 273,211,1138803,1.13,16.5484,2.6,0.78771,4.1,0.094584,3.2,0.772,582.6,17.8,589.9,18.5,618.0,56.8,582.6,17.8,94.3,98.8
MR24-020 274,134,461507,1.32,16.6705,2.6,0.78019,3.9,0.094372,2.9,0.752,581.3,16.3,585.6,17.4,602.1,55.7,581.3,16.3,96.5,99.3
MR24-020 275,219,146553,4.84,13.6157,1.8,1.73941,3.4,0.171845,2.9,0.854,1022.3,27.8,1023.2,22.2,1025.3,36.3,1025.3,36.3,99.7,99.9
MR24-020 276,100,209582,3.07,12.0508,3.0,2.47192,5.4,0.216145,4.5,0.833,1261.5,51.6,1263.9,39.1,1267.9,58.4,1267.9,58.4,99.5,99.8
MR24-020 277,124,508058,3.16,7.6022,1.5,6.7948,4.1,0.374807,3.8,0.934,2052.0,67.6,2085.0,36.4,2117.8,25.7,2117.8,25.7,96.9,98.4
MR24-020 278,428,171154,7.07,16.3456,2.3,0.84647,3.7,0.100393,2.9,0.774,616.7,16.8,622.7,17.2,644.6,50.2,616.7,16.8,95.7,99.0
MR24-020 279,361,132040,4.15,16.117,2.1,0.89216,3.9,0.104333,3.3,0.841,639.8,20.2,647.5,18.8,674.8,45.5,639.8,20.2,94.8,98.8
MR24-020 280,96,87670,2.07,13.2266,2.7,1.78219,5.4,0.171039,4.6,0.863,1017.8,43.6,1039.0,34.9,1083.7,54.3,1083.7,54.3,93.9,98.0
MR24-020 281,235,275572,2.18,16.2314,2.4,0.85841,4.0,0.101099,3.2,0.795,620.8,19.0,629.3,18.9,659.6,52.4,620.8,19.0,94.1,98.6
MR24-020 282,113,175016,2.17,16.3546,3.4,0.77251,5.5,0.091672,4.2,0.778,565.4,23.0,581.2,24.1,643.4,73.6,565.4,23.0,87.9,97.3
