Sample,Region,Subregion,Source,Latitude (DD),Longitude (DD),Rock Type,Period,Age (Ma),Error (Ma),Lower Error (Ma),Error Type,System,Material,Technique,DOI,Data Available,Notes,,,UTM 29N Easting,UTM 29N Northing,Latitude (D),Latitude (M),Latitude (S),Longitude (D),Longitude (M),Longitude (S)
Tz10/41,Western Meseta,Zaer,Rossi et al. (2016),33.18,-5.63,Granodiorite,Permian,268,27,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1007/978-3-319-31733-5_3,PDF Table,Younger of two populations,,,,,,,,,,
Tz11/04,Western Meseta,Zaer,Rossi et al. (2016),33.18,-5.63,Granodiorite,Permian,261,13,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1007/978-3-319-31733-5_3,PDF Table,Younger of two populations,,,,,,,,,,
Tz10/26,Western Meseta,Zaer,Rossi et al. (2016),33.18,-5.63,Microgranite,Permian,273,13,,2sig,U-Pb,Zircon,LA-ICPMS,https://doi.org/10.1007/978-3-319-31733-5_3,PDF Table,,,,,,,,,,,
Jebilet Bioitite Granite,Western Meseta,Jebilet,Mrini et al. (1992),31.76,-7.91,Biotite Granite,Carboniferous,327,4,,,Rb-Sr,Whole Rock,Isochron,https://pubs.geoscienceworld.org/sgf/bsgf/article/163/3/281/122583/Chronologie-Rb-Sr-des-granitoides-hercyniens-du,Figures Only,,,,,,,,,,,
Jebilet Leucogranite,Western Meseta,Jebilet,Mrini et al. (1992),31.76,-7.91,Leucogranite,Permian,295,15,,,Rb-Sr,Whole Rock,Isochron,https://pubs.geoscienceworld.org/sgf/bsgf/article/163/3/281/122583/Chronologie-Rb-Sr-des-granitoides-hercyniens-du,Figures Only,,,,,,,,,,,
Rehamna Granite,Western Meseta,Rehamna,Mrini et al. (1992),32.31,-8.1,Granite,Permian,268,6,,,Rb-Sr,Whole Rock,Isochron,https://pubs.geoscienceworld.org/sgf/bsgf/article/163/3/281/122583/Chronologie-Rb-Sr-des-granitoides-hercyniens-du,Figures Only,,,,,,,,,,,
Zaer Granite,Western Meseta,Zaer,Mrini et al. (1992),33.3,-6.69,Granite,Permian,279,11,,,Rb-Sr,Whole Rock,Isochron,https://pubs.geoscienceworld.org/sgf/bsgf/article/163/3/281/122583/Chronologie-Rb-Sr-des-granitoides-hercyniens-du,Figures Only,,,,,,,,,,,
Oulmes Granite,Western Meseta,Zaer,Mrini et al. (1992),33.41,-6.08,Granite,Permian,262,4,,,Rb-Sr,Whole Rock,Isochron,https://pubs.geoscienceworld.org/sgf/bsgf/article/163/3/281/122583/Chronologie-Rb-Sr-des-granitoides-hercyniens-du,Figures Only,,,,,,,,,,,
Ment Granite,Western Meseta,Zaer,Mrini et al. (1992),33.24,-5.89,Granite,Permian,270,3,,,Rb-Sr,Whole Rock,Isochron,https://pubs.geoscienceworld.org/sgf/bsgf/article/163/3/281/122583/Chronologie-Rb-Sr-des-granitoides-hercyniens-du,Figures Only,,,,,,,,,,,
Tichka Granite,High Atlas,Marrakech,Mrini et al. (1992),30.83,-8.65,Granite,Permian,296,5,,,Rb-Sr,Whole Rock,Isochron,https://pubs.geoscienceworld.org/sgf/bsgf/article/163/3/281/122583/Chronologie-Rb-Sr-des-granitoides-hercyniens-du,Figures Only,,,,,,,,,,,
